鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大里區,房地(土地+建物),台中市大里區新仁六街４５號,468.86,,鄉村區,乙種建築用地,1020228,土地1建物1車位0,一層，二層,二層,農舍,農舍,加強磚造,0660322,192.52,5,2,5,有,無,18880000,,,0.0,0,,RPVOMLLJNHIFFGL98CA,192.52,0.0,0.0,,
大里區,房地(土地+建物)+車位,台中市大里區永興路５之１０號,23.17,住,,,1020328,土地1建物1車位1,十層,十二層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800210,151.74,3,2,2,有,有,2500000,16476,坡道機械,0.0,0,,RPQOMLNJNHIFFGL68CA,88.1,0.0,14.61,,
大里區,房地(土地+建物),台中市大里區仁愛路１７６巷１１９號,109.49,,鄉村區,乙種建築用地,1020225,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0940121,177.88,5,3,3,有,無,10800000,60715,,0.0,0,,RPRNMLOJNHIFFGL78CA,163.0,0.0,14.88,,
大里區,土地,立仁段30地號,197.73,,鄉村區,乙種建築用地,1020201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8600000,43494,,0.0,0,,RPPNMLPJNHIFFGL68CA,0.0,0.0,0.0,,
大里區,房地(土地+建物),台中市大里區中興路二段１５３巷１７號,10.24,住,,,1020401,土地1建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830917,87.32000000000001,4,2,2,有,有,2800000,32066,,0.0,0,,RPVNMLQLMHIFFGL86CA,61.93,8.66,0.0,,
霧峰區,土地,丁台三段122地號,451.19,,特定農業區,甲種建築用地,1020402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,8865,,0.0,0,,RPVOMLOLMHIFFGL76CA,0.0,0.0,0.0,,
大里區,房地(土地+建物),台中市大里區益民路二段８９巷３７弄２號,77.0,住,,,1020322,土地2建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0740401,84.46,3,3,2,有,無,8600000,101823,,0.0,0,,RPRPMLOLMHIFFGL09CA,79.98,0.0,4.48,,
霧峰區,房地(土地+建物),台中市霧峰區中正路616巷2號,73.76,住,,,1020314,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0691101,61.44,4,3,2,有,無,1100000,17904,,0.0,0,,RPXNMLKLMHIFFGL09CA,61.44,0.0,0.0,,
烏日區,房地(土地+建物)+車位,台中市烏日區中華路２９４巷１２弄5號2樓,21.56,住,,,1020328,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850208,2191.9599999999996,3,2,2,有,有,3860000,1761,坡道平面,0.11,0,,RPRPMLMLMHIFFGL88CA,0.0,0.0,0.0,,
烏日區,房地(土地+建物)+車位,台中市烏日區中華路２９４巷１２弄５號二樓,21.56,住,,,1020328,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850208,2202.8199999999997,3,2,2,有,有,3860000,1752,坡道平面,0.11,0,,SPRPMLMLMHIFFGL98CA,77.38,0.0,10.86,,
大里區,房地(土地+建物),台中市大里區中興路一段１６７之８號,140.47,住,,,1020323,土地3建物1車位0,一層，二層，三層，四層，騎樓，見其他登記事項,四層,店面(店鋪),見其他登記事項,見其他登記事項,0991209,321.43,4,2,3,有,有,19000000,59111,,0.0,0,,RPOOMLNLMHIFFGL58CA,285.39,0.0,36.04,,
烏日區,土地,五張犁段97-17地號,349.18,,鄉村區,乙種建築用地,1020320,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9400000,26920,,0.0,0,,RPPOMLNLMHIFFGL68CA,0.0,0.0,0.0,,
大里區,房地(土地+建物)+車位,台中市大里區現岱路１６７巷３０弄２號,93.0,住,,,1020222,土地2建物1車位1,全,四層,透天厝,見其他登記事項,見其他登記事項,0990416,190.32,4,3,4,有,有,9300000,48865,一樓平面,0.0,0,,RPVOMLNLMHIFFGL66CA,180.14,0.0,10.18,,
霧峰區,土地,南勢東段228地號,2934.77,其他,特定農業區,農牧用地,1020328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26500000,9030,,0.0,0,,RPQNMLMLMHIFFGL58CA,0.0,0.0,0.0,,
烏日區,土地,新長壽段36-4地號,209.99,住,,,1020221,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12545200,59742,,0.0,0,,RPRNMLMLMHIFFGL68CA,0.0,0.0,0.0,,
大里區,房地(土地+建物),台中市大里區長興一街２９號,285.02,住,,,1020322,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0870123,207.45,6,2,4,有,無,21000000,101229,,0.0,0,,RPQPMLTKMHIFFGL76CA,195.3,0.0,12.15,,
烏日區,房地(土地+建物),台中市烏日區麻園東二街１７號,96.07,住,,,1020327,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0960718,192.9,4,1,3,有,無,12600000,65319,,0.0,0,,RPUOMLTKMHIFFGL07CA,176.75,3.6,12.55,,
烏日區,土地,螺潭段713地號,16.19,,鄉村區,乙種建築用地,1020318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,269319,16635,,0.0,0,,RPWOMLTKMHIFFGL27CA,0.0,0.0,0.0,,
霧峰區,土地,豐正段815地號,2727.82,,特定農業區,農牧用地,1020304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27230000,9982,,0.0,0,,RPXOMLTKMHIFFGL37CA,0.0,0.0,0.0,,
大里區,土地,中興段656地號,1023.0,,特定農業區,農牧用地,1020311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30900000,30205,,0.0,0,,RPOPMLTKMHIFFGL56CA,0.0,0.0,0.0,,
北屯區,房地(土地+建物),台中市北屯區東山路一段２１８巷６之７弄１４之７號,20.64,住,,,1020404,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801028,129.99,3,2,2,有,有,3500000,26925,,0.0,0,,RPVPMLQLMHIFFBB18CA,102.74,0.0,14.43,,
北屯區,房地(土地+建物)+車位,台中市北屯區安順四街33號4樓之3,11.71,住,,,1020324,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801214,84.35,2,1,1,有,有,3150000,37344,坡道機械,0.0,0,,RPTOMLQLMHIFFBB87CA,56.21,0.0,6.87,,
北屯區,房地(土地+建物)+車位,台中市北屯區陳平一街７１巷１８號,21.18,住,,,1010311,土地1建物2車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850120,317.66,4,2,2,有,有,5300000,16685,坡道機械,0.0,0,,RPTNMLQLMHIFFBB77CA,67.28,13.29,0.0,,
北屯區,房地(土地+建物),台中市北屯區水景里東山路一段２０３之３號,76.0,其他,,,1020329,土地1建物1車位0,全,二層,透天厝,住商用,磚造,0601230,79.16,3,2,1,有,無,9500000,120010,,0.0,0,,RPVPMLLJNHIFFBB57CA,79.16,0.0,0.0,,
北區,房地(土地+建物),台中市北區建成里東光東街８１號１３樓之７,3.75,住,,,1020407,土地1建物1車位0,十三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831214,29.71,1,0,1,有,有,780000,26254,,0.0,0,,RPRPMLLJNHIFFBB17CA,18.97,0.0,2.51,,
北屯區,房地(土地+建物),台中市北屯區東山路一段９１巷３３號五樓之２,18.8,住,,,1020321,土地3建物1車位0,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970723,88.94,2,1,2,有,有,3550000,39915,,0.0,0,,RPTOMLMJNHIFFBB37CA,57.83,0.91,4.37,,
北屯區,土地,松觀段1-23地號,1026.0,住,,,1020408,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46554750,45375,,0.0,0,,RPXNMLPJNHIFFBB97CA,0.0,0.0,0.0,,
北屯區,房地(土地+建物)+車位,台中市北屯區柳陽西街８８號五樓之２,15.28,住,,,1020406,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010814,147.02,3,2,2,有,有,8800000,59856,坡道機械,0.0,0,,RPWQMLQJNHIFFBB28CA,80.66,2.82,10.05,,
北區,房地(土地+建物)+車位,台中市北區華美街二段２２６號６樓之２,10.09,住,,,1020402,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850209,116.93,3,2,2,有,有,5030000,43017,升降機械,0.0,0,,RPVOMLNJNHIFFBB67CA,67.21,1.97,13.13,,
