編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQSMLTKJIHFFCB97CA,16,46.53,共有部份,鋼筋混凝土造,86年1月18日,二十一層,
RPQNMLMJJIHFFAL47CA,16,51.74,住家用,鋼筋混凝土造,85年9月5日,八層,五層 陽台 花台
RPQNMLMJJIHFFAL47CA,16,16.57,共有部份,鋼筋混凝土造,85年9月5日,八層,
RPRNMLMJJIHFFAL57CA,34,106.05,見其他登記事項,加強磚造,68年1月12日,二層,一層 二層 電梯樓梯間
RPUNMLMJJIHFFAL87CA,6,163.69,住宅、停車空間,鋼筋混凝土造,96年2月14日,四層,一層 二層 三層 四層 陽台 雨遮
RPSNMLNJJIHFFAL77CA,9,197.09,自用農舍、梯間,鋼筋混凝土造,92年8月22日,二層,一層 二層 陽台 見其他登記事項
RPWOMLPJJIHFFAL48CA,11,42.64,住家用,鋼筋混凝土造,90年10月18日,十四層,十二層 陽台
RPWOMLPJJIHFFAL48CA,11,25.08,共有部份,鋼筋混凝土造,90年10月18日,十四層,
RPQNMLRJJIHFFAL97CA,13,134.93,住商用,鋼筋混凝土造,88年12月16日,十一層,十一層 陽台
RPQNMLRJJIHFFAL97CA,13,67.18,共有部份,鋼筋混凝土造,88年12月16日,十一層,
RPQNMLRKJIHFFCB27CA,7,20.10,住家用,鋼筋混凝土造,94年12月20日,十層,三層 陽台
RPQNMLRKJIHFFCB27CA,7,5.34,共用,鋼筋混凝土造,94年12月20日,十層,
RPQNMLRKJIHFFCB27CA,7,5.88,共用,鋼筋混凝土造,94年12月20日,十層,
RPSNMLRJJIHFFAL18CA,39,44.80,住家用,磚造,63年1月30日,一層,
RPOOMLTKJIHFFAL18CA,23,382.16,住商用,鋼筋混凝土造,78年5月15日,五層,一層 二層 三層 四層 五層 陽台 騎樓 地下層
RPRNMLSJJIHFFBL28CA,34,104.21,住家用,加強磚造,67年11月23日,二層,一層 二層
RPSOMLMJJIHFFCL97CA,17,91.25,住家用,鋼筋混凝土造,84年12月30日,七層,五層 陽台
RPSOMLMJJIHFFCL97CA,17,17.11,防空避難室、桌球空間、門廳間、穿堂空間,鋼筋混凝土造,84年12月30日,七層,
RPSOMLMJJIHFFCL97CA,17,12.59,機械房、水塔、梯間,鋼筋混凝土造,84年12月30日,七層,
RPXNMLPJJIHFFCL68CA,18,170.98,住家用,鋼筋混凝土造,83年8月1日,三層,一層 二層 三層 電梯樓梯間
RPROMLQJJIHFFCL28CA,2,234.06,住宅、停車空間、樓梯間,鋼筋混凝土造,100年3月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPXNMLPKJIHFFCL78CA,4,25.13,住家用,鋼筋混凝土造,98年3月3日,七層,二層 陽台 雨遮
RPXNMLPKJIHFFCL78CA,4,4.66,防空避難室、停車空間、台電受電室、消防機械室,鋼筋混凝土造,98年3月3日,七層,
RPXNMLPKJIHFFCL78CA,4,.81,店舖、機電空間,鋼筋混凝土造,98年3月3日,七層,
RPXNMLPKJIHFFCL78CA,4,6.68,梯間、水箱、机械室,鋼筋混凝土造,98年3月3日,七層,
RPQNMLQKJIHFFCL18CA,4,50.26,住家用,鋼筋混凝土造,98年3月3日,七層,四層 陽台 雨遮
RPQNMLQKJIHFFCL18CA,4,9.32,防空避難室、停車空間、台電受電室、消防機械室,鋼筋混凝土造,98年3月3日,七層,
RPQNMLQKJIHFFCL18CA,4,1.70,店舖、機電空間,鋼筋混凝土造,98年3月3日,七層,
RPQNMLQKJIHFFCL18CA,4,13.36,梯間、水箱、机械室,鋼筋混凝土造,98年3月3日,七層,
RPOOMLPKJIHFFCL97CA,4,50.26,住家用,鋼筋混凝土造,98年3月3日,七層,三層 陽台 雨遮
